,SMILES,CANONICAL_SMILES,Energy
82129,c1c(c2c(nc1-c1ccccc1)ccc(c2)Br)C(Nc1scc(c1C(=O)OCC)-c1cc(C)c(C)cc1)=O,CCOC(=O)c1c(-c2ccc(C)c(C)c2)csc1NC(=O)c1cc(-c2ccccc2)nc2ccc(Br)cc12,-10.950231596999998
82130,C(=O)(c1ccnc2c(C(C)C(C(C)CNc3ncnc(c3)-c3ccc(C4(CC4)C#N)cc3)C)cccc21)NC,CNC(=O)c1ccnc2c(C(C)C(C)C(C)CNc3cc(-c4ccc(C5(C#N)CC5)cc4)ncn3)cccc12,-10.668808216499999
82131,c1cc2c(nc(cc2C(=O)Nc2cc(C(OC)=O)c[nH]c2=O)-c2ccc(C)cc2)cc1,COC(=O)c1c[nH]c(=O)c(NC(=O)c2cc(-c3ccc(C)cc3)nc3ccccc23)c1,-9.390646107
82132,c1cc(ccc1O)-c1cc(c2c(n1)ccc(c2)Br)C(N/N=C(/c1ccc(cc1)NC(=O)c1oc(Br)cc1)C)=O,C/C(=N\NC(=O)c1cc(-c2ccc(O)cc2)nc2ccc(Br)cc12)c1ccc(NC(=O)c2ccc(Br)o2)cc1,-11.702708459
82133,c1c(OC)c2nc(N(Cc3cccnc3)C(c3cc(-c4ccccc4)nc4ccccc34)=O)sc2c(OC)c1,COc1ccc(OC)c2sc(N(Cc3cccnc3)C(=O)c3cc(-c4ccccc4)nc4ccccc34)nc12,-2.9928901204
82134,C(CC(F)OC(CCC(CNC(c1c2c(nc(c1C)-c1ccccc1)ccc(Br)c2)=O)c1c(ccc(c1F)F)Cl)=O)C,CCCC(F)OC(=O)CCC(CNC(=O)c1c(C)c(-c2ccccc2)nc2ccc(Br)cc12)c1c(Cl)ccc(F)c1F,-8.9696545251
82135,C1(CC1)c1nc2ccccc2c(c1)C(Nc1cc(C(N(C)C)=O)ccc1)=O,CN(C)C(=O)c1cccc(NC(=O)c2cc(C3CC3)nc3ccccc23)c1,-8.256483448200001
82136,c1(cc(-c2ccncc2)nc2ccccc12)C(=O)N[N]C1C2C(=c3ccccc3=1)CC=CC=2,O=C(N[N]C1=c2ccccc2=C2CC=CC=C21)c1cc(-c2ccncc2)nc2ccccc12,-0.7317200076
82137,o1c(ccc1)CNC(=O)c1c2cc(Cl)ccc2nc(c1)-c1ccccc1,O=C(NCc1ccco1)c1cc(-c2ccccc2)nc2ccc(Cl)cc12,-3.86456842
82138,c1cc(C)ccc1-c1c(C)c(C(=O)Nc2cc(CC)ccc2)c2ccccc2n1,CCc1cccc(NC(=O)c2c(C)c(-c3ccc(C)cc3)nc3ccccc23)c1,-7.9328598158000005
82139,c1cc(C(F)(F)F)cc(-c2c(CN3CCC(CC3)N3CCC(F)(F)CC3)c(C(NC(c3ccccc3)C(F)(F)F)=O)c3c(n2)ccc(S(C)(=O)=O)c3)c1,CS(=O)(=O)c1ccc2nc(-c3cccc(C(F)(F)F)c3)c(CN3CCC(N4CCC(F)(F)CC4)CC3)c(C(=O)NC(c3ccccc3)C(F)(F)F)c2c1,-14.9904103
